id_item,price,info,fullname,gb_link,gb_info
27561,"1.8g / 17,000",풍부한 컬러와 광택과 미끄러질 듯 부드러운 젤 텍스처를 지닌 아이라이너로 하루 종일 지속되는 롱웨어링 프루프 효고와 3 WAY 메이크업 효과가 뛰어남,에스쁘아 브론즈 페인팅 워터프루프 아이펜슬 (브룸스트리트),http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29402&TipSeq=36583,[2012.11.14] 41화 Ⅲ. 찰떡 메이크업
32491,"18,000",또렷한 윤곽 메이크업을 위한 납작하고 넓은 브러시,리얼테크닉 스컬프팅브러시,,
28834,"4.9 * 2ea / 6,500","스타일리쉬한 네일 코디가 가능한 네일 듀오로, 샵에서 받던 화려한 네일 아트를 누구든 손쉽게 할 수 있는 제품",브이디엘 페스티벌 네일 듀오,,
26834,"300ml / 49,000","웨이브 강화,수분공급,자연스러운 고정력,윤기 강화,잔여물이 남지 않음",모로칸오일 인텐스 컬 크림,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29347&TipSeq=36114,[2011.09.14] 33화 Ⅲ. 셀프앞머리 연출(1)
27647,"2.8g / 28,000원",파우더 타입의 펄 아이섀도우로 아주 자연스럽게 촉촉해 보이는 연출부터 화려하고 환상적인 메이크업까지 가능한 제품,메이크업포에버 스타 파우더 #975,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29393&TipSeq=36529,[2012.09.12] 32화 Ⅲ. 제형+제형을 활용한 메이크업
32607,50ml / 18000,"백탁현상, 유분감을 꽉 잡아 산뜻한 마무리로 자외선으로부터 피부를 보호하는, 성공적인 첫 경험을 위한 그루밍 선크림",문샷 포맨 하이 컷 선크림,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=32640&TipSeq=52336,[2017.08.09] 22화 Ⅰ. 최.초.공.개 화장대 속 리얼 뷰티템은?
27560,"1.8g / 17,000",풍부한 컬러와 광택 + 미끄러질 듯 부드러운 젤 텍스처 + 하루 종일 지속되는 롱웨어링 프루프 효과 + 3 WAY 메이크업 효과,에스쁘아 브론즈 페인팅 워터프루프 아이펜슬 (탠),http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29387&TipSeq=36490,[2012.08.01] 26화 Ⅳ. 작은 얼굴을 만드는 부위별 섀딩법
26833,"300ml / 49,000원",-부드러운 고정력<br/>-선명도와 윤기강화<br/>-푸석거림 제거<br/>-수분 공급,모로칸오일 하이드레이팅 스타일링 크림,,
19290,"5g / 14,000",자연스러운 발색력을 지닌 제품입니다.,바닐라코 투 아이즈 듀오 스퀘어드,http://getitbeauty.m.tving.com/VOD/SELFView/35769,겟잇뷰티 SELF < 골든 카키 스모키 메이크업 >
27111,"10g / 65,000",화이트닝 성분인 M-트라넥사믹 애씨드 미세입자로 가공하여 마무리가 매끄럽습니다. 보습성분인 하이드로 시너지 콤플렉스로 모이스춰라이징 효과를 볼 수 있으며 SPF25 PA+++으로 가벼운 외출 시에는 파운데이션만 발라도 좋습니다.,시세이도 화이트 루센트 브라이트닝 스팟 컨트롤 파운데이션,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29324&TipSeq=36268,[2011.04.06] 10화 Ⅲ. 센스있는 들러리 메이크업 - 베이스
27989,"5g / 9,000원",파스텔뭉게 구름이 두 뺨을 감싸주고~퍼프를 두드리면 향기가 퐁퐁! 보송보송 동안 페이스를 완성해주는 파스텔 쿠션 블러셔!,더페이스샵 러블리 믹스 파스텔 쿠션 블러셔 03 플럼쿠션,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29410&TipSeq=36631,[2013.03.06] 2화 Ⅰ. 화장발 - 발뺌 메이크업
30761,"15ml / 72,300",민감하고 예민한 피부에 사용하기 적합한 집중 에센스 제품입니다.고농축 에센스로 피부 장벽 강화에 도움을 주고 탄력있게 가꿔줍니다.,안네마리보린 SOS 센서티브 컨센트레이트,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=30778&TipSeq=42636,[2016.02.03] 1화 Ⅲ. mc들이 선택한 2016 뉴 뷰티 아이템!
32489,"36,000",눈꺼풀에 집중적으로 쉐이딩하거나 아이라인과 그 주변에 명암 효과를 줄 때 효과적으로 사용할 수 있는 부드러운 소형 브러시,맥 214 브러시,,
19284,"1.2g / 14,000","크리미한 포뮬러로 예민하고 연약한 눈가에 자극 없이 미끄러지듯 부드럽게 그려지며, 땀, 피지, 물에 쉽게 번지지 않는 강력한 워터프루프, 스머지 프루프 타입으로 라인을 오랫동안 또렷하고 선명한 눈매로 연출해 줍니다.",바닐라코 스타일 아이라이너 펜슬 딥 브라운,,
32602,"100ml / 57,000","공기처럼 가벼운 텍스쳐의 향기로운 보습 미스트가 당신의 피부를 더욱 촉촉하게 가꿔주고, 향을 오래도록 지속",샤넬 코코 마드모아젤 브륌 후레쉬 뿌르 르 꼬르,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=32559&TipSeq=52066,[2017.07.12] 21화 Ⅰ. 3MC 〈시크릿 향템〉 공개!
27646,"35ml / 25,000원",- 물과 땀에 강해 프루프 베이스 대용으로 사용 가능하며 당김없이 촉촉한 밀착감으로 피부 결점을 커버해 줍니다.,입큰 에센스 인 파운데이션 SPF30 PA++,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29393&TipSeq=36529,[2012.09.12] 32화 Ⅲ. 제형+제형을 활용한 메이크업
28833,"1.8g / 9,500",눈부신 펄감과 버라이어티한 컬러가 연출하는 미끄러지듯 부드러운 젤 텍스처의 아이라이너 펜슬,브이디엘 페스티벌 젤 펜슬,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=&TipSeq=43245,[0001.01.01] 0화 Ⅲ.입술성형 M.U
27110,"30ml / 53,000","스킨케어의 화이트닝, 모이스춰라이징 성분들의 처방으로 화이트닝 효과가 향상. 시세이도만의 특허성분 스팟 컨트롤 파우더가 가미, 잡티를 커버해 자연스런 마무리를 해주며 자외선에 의한 손상으로부터 피부를 보호해줍니다.",시세이도 화이트 루센트 브라이트닝 스팟 컨트롤 베이스 UV,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29324&TipSeq=36268,[2011.04.06] 10화 Ⅲ. 센스있는 들러리 메이크업 - 베이스
27109,"50ml / 80,000원","자외선, 대기오염 및 건조 등의 외부환경으로부터 피부를 보호하는 낮 전용 모이스춰라이저.",시세이도 화이트 루센트 브라이트닝 프로텍티브 크림 w,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29324&TipSeq=36268,[2011.04.06] 10화 Ⅲ. 센스있는 들러리 메이크업 - 베이스
32488,"8.5g / 16,500",부드러운 끝부분으로 화장 후 여분의 가루입자를 털어주는데 사용,플라리아 1097 펜 브러시,,
26832,"330ml / 20,000","모로칸 오일이 갖고 있는 비타민 E 성분은 머리카락에 수분을 공급해주고, 탁월한 향산화 역할을 합니다.",모로칸오일 루미너스 헤어 스프레이 스트롱,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29347&TipSeq=36112,[2011.09.14] 33화 Ⅰ. 앞머리를 올려라
27108,"30ml / 182,200",쑥 추출물이 피부톤을 점점 밝아지게 합니다. 가볍고 촉촉한 텍스처가 피부에 즉시 스며들어 피부의 빛을 되찾아줌과 동시에 촉촉함을 느끼실 수 있습니다.,시세이도 화이트 루센트 인텐시브 스팟 타겟팅 세럼,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29324&TipSeq=36268,[2011.04.06] 10화 Ⅲ. 센스있는 들러리 메이크업 - 베이스
28832,"75ml / 30,000",피부에 촘촘하게 수분을 채워 48시간동안 촉촉한 수분크림,수려한 효 수분샘 멀티크림,,
30759,"50ml / 169,000","피테라와 오일의 황금비율, 강력한 보습력과 개선된 피부에서 나오는 눈부신 광채!",SK-II 페이셜 트리트먼트 오일,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=30778&TipSeq=42636,[2016.02.03] 1화 Ⅲ. mc들이 선택한 2016 뉴 뷰티 아이템!
29707,"6g / 18,000","신개념 볼륨 파우더로 드라마틱한 볼륨래쉬, 물과 피지에 강한 워터스트롱 마스카라. 한번의 터치만으로 뭉침없이 풍성한 볼륨 래쉬 완성.",키스미 볼륨 앤 컬 마스카라 브라운,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29730&TipSeq=37651,[2015.04.08] 10화 Ⅴ. 수분을 지켜주는 킬미힐미 메이크업
27988,"50ml / 47,000원",노메이크업처럼 깨끗하고 투명한 피부표현과 피부보호 기능을 하나로!,꾸어셀 비채밤 비비크림,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29410&TipSeq=36635,[2013.03.06] 2화 Ⅴ. 조명발 (3) - 자체발광 메이크업
28831,"15g+15g / 22,000","뛰어난 커버력, 자외선차단 및 스킨케어 기능으로 피부에 윤기와 광채를 주는 쿠션 파운데이션",수려한 비책자단 선 쿨링 쿠션 파운데이션,,
32485,7g / 12000,"뷰티 블로거 호호미우님, 애콤님과 함께한 퍼펙트 쇼킹 립",토니모리 퍼펙트 립스 쇼킹 립 #1 핑크 쇼킹,,
19008,"15g / 48,000",M 라인 이마를 U라인 이마처럼 횡한 정수리를 풍성하게 해주는 마법같은 효과,차홍에스디헤어 U라인 섀도우,http://getitbeauty.m.tving.com/VOD/SELFView/35759,겟잇뷰티 SELF < 첫 인상과 이미지를 결정하는 증명사진 메이크업 >
32601,"236ml / 9,800","알로에와 비타민 E, 시어 버터 성분이 함유되어 보습에 도움을 주는 바디로션",배스앤바디웍스 바디로션 플루메리아,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=32559&TipSeq=52066,[2017.07.12] 21화 Ⅰ. 3MC 〈시크릿 향템〉 공개!
28830,"100ml / 49,000",수분 + 주름개선 + 미백 + 자외선 차단의 4 in 1 효과로 언제 어디서든 가볍게 뿌릴 수 있는 안개분사 한방 선미스트,수려한 비책 자단 선미스트,,
27981,"9g / 27,900원",눈가 그늘과 칙칙한 잡티를 싹 고속 미백해주는 비타민 앰플 스틱,비알티씨 브라이트 아이 바이탈라이저 크림 9g,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29410&TipSeq=36635,[2013.03.06] 2화 Ⅴ. 조명발 (3) - 자체발광 메이크업
19003,"35ml / 35,000",셀틱 워터 함유로 피부 속 수분감은 높이고 마무리감은 산뜻하게 밀착되어 내 피부같은 리얼 스킨메이크업을 완성해줌,리즈케이 리즈 컬러베일 UV 프로텍션,,
32484,3.5g / 15000,가볍고 촉촉한 워터 샤인 립스틱,웨이크메이크 립코스터S #05 오렌지스,,
26831,"100ml / 39,000원",-눈에 보이지 않는 윤기막<br/>-색감 강화<br/>-곱슬거림 방지<br/>-여러 요소로부터 모발 보호,모로칸오일 글리머 샤인 스프레이,,
27107,"6ea / 95,000","미백 기능성을 인정 받은 멀티 타겟 비타민 C와 아시안 식물 추출물로 맑고 깨끗해진 피부로 가꾸어 줍니다. 화이트 루센트만의 3가지 접근 방식 (스팟 컨트롤, 멜라닌 컨트롤, 피부결 컨트롤) 이 집결된 인텐시브 브라이트닝 마스크의 빠르고 집중적인 브라이트닝 시스템을 만나보세요.",시세이도 화이트 루센트 인텐시브 브라이트닝 마스크,http://getitbeauty.m.tving.com/BeautyTip/View?EpisodeID=29324&TipSeq=36268,[2011.04.06] 10화 Ⅲ. 센스있는 들러리 메이크업 - 베이스
